,txt
2895,차인표라는 스타 이미지설정을 해놓고가기 때문에 내용상 그렇긴 하지만 긴박한사항에서도 전혀 긴장감이 없다는게 단점이고 마지막에 걸치고 나온걸 찢어버렸다기보다 나올때 당당하게 했다면 그게 진정성아닐까요 
2896,너무 유치해요 놀래키는 부분도 그냥 소리로만 놀래키고 시간아까웠어요 
2898,평범한 로맨스영화겠거니 생각하고 봤는데 인생영화됨 
2899,광철오빠 알라뷰 잘 봤어용 
2900,어렸을 때 봤을 땐 김아중 진짜 예쁘다 생각했었는데 지금 다시보니 주진모가 존잘러였음 ㄷㄷ 
2902,런닝타임이 상당히 긴데도 단 1초도 지루한 순간이 없네요 
2903,아내랑 보러갔다가 둘 다 울고나왔어요 
2904,강동원 얼굴이 제일 재밌었음 
2906,이거 손오공이 단독으로 타카라에게 허가도안받고 더빙을해서 그런지 예고편빼고는 bvb vod 출시도안해서 풀버전을 찾을수가 없네요그리고 2002년에 개봉한거임 
2907,개꿀잼 평점가지고 장난치지마라 
2908,너무재밌음  보는내내 음악도 좋았고 인생에 교훈을 얻은느낌ㅋㅋ어린애들이 볼건아닌듯  어른이들 추천 
2909,예수님의 보혈로 죄씻은 받은 우리는 주님의 택한 백성이니 먼저 그의 나라와 그의 의를 구하고 오직 주만 바라고 천국가는 그날까지 순종하며 살길 기도합니다 
2912,인생의 목표에 대해 다시 생각할 수 있게 해준 영화 
2913,이환경 이 10bird끼 7번방 얻어 쳐 걸릴 때부터 마음에 안 들었다 기껏 후속작이라고 쳐내놓은게 독일영화 타인의 삶 카피 쳐해서 영화 만들더니 창의성은 개나 주고 하다하다 양우석처럼 좌파짓거리까지 하네 너도 평생 피해간다 내가 10r 정우는 진짜 연기 잘하긴 잘 한다 도굴 볼 때 조우진 연기 보고 느낀 감동만큼 
2914,1점도 아까움 어려우면 무조건 띵작이냐 영화보고 대체 뭔소리지 하고 해석 찾아봐야되고 ㅋㅋㅋ 인터스텔라는 우주 소재로 흥미라도 있지 이건 뭐 걍 개노답 베베 꼬아놓고 이거 이해못해 라고 관객을 비웃는 수준 관객의 눈높이는 개나주고 니들이 두번세번 보고 해석찾아봐야되는데 이게 띵작이냐 
2917,반전 ㅈㄴ 재밌다 후하후하 
2918,무서운거 전혀 없고 재미도 드럽게 없고 연출도 개판이라 장면이 연결도 안되고지겨워 죽는 줄최악이거 보느니 마스크 사라 
2919,이거볼시간에 발닦고 잠이나자세요 
2920,재밍따 
2921,정말 욕이욕이 으이구 진짜 이걸 영화라고 만들었어 돈이 썩어난다 
2922,재밌고 감동도 있다 하지만 주제를 만든 후 그에 맞는 감동코드를 끼워 만든 느낌이랄까 약간 인위적인 감동 영화의 메세지도 크게 와닿지는 않는다 인생이 즐겁지 않아서 그런가보다 그래도 요즘 상영하는 쓰레기영화 사이 오랜만에 예매할 만한 영화 
2923,시간이 남아돌고나 돈을 바닥에 던지고 싶을때 보면 좋은영화 1순위진짜 기대하면서 봤는데 돈날리고 시간날리고여운도없고 감흥도 없고 감정도 없음보고난후에 친구랑 바로 싸웠어요 왜 이딴영화 보자고 했냐고앞으로 감독님 이름 꼭 외워서 감독님이 만드신 영화 다신 보지 않을게요 제 2021년 1월 22일 1시간39분 33초와 결제비용을 소비해 주셔서 참 고맙네요거짓말이 아니라 저희집 뽀삐가 영화를 만들어도 더 잘만들 것 같습니다 ㅎ많은 분들이 제 후기를 보고 이영화를 거르시길 부탁 드릴게요 
2924,극적인 상황을 자주 상상해보는 sf 매니아에게는 재미있는 영화다 
2925,주인공 헤으응 
2926,배우들 연기 빼곤 ㅂㄹ누구의 입맛에 맞춘 영화 
2927,흥미있는 영화이지만 다소 몰입도가 떨어진다 
2929,괴물은 징그럽고내용은참뭔가 애매하게재미없는듯한마지막장면은 그래도 엄마는 강하다 
2930,제임스 연기 미쳤다 
2932,박하사탕의 설경구는 거칠고 무아지경에 빠진 사자였다면 오아시스의 설경구는 커다란 산 속의 모든것을 아우르는 호랑이였다이때의 설경구가 그립습니다  
2933,음악을 사랑하는 칼잡이 
2934,캬 너무 좋아요 이런거 자주 좀 찍어주세요 힐링했어요 
2935,겜유저로 재밌게 보고왔어요 게임안하는 일행도 볼만했다하네요 
2936,가족들과 부부끼리 연인들이 가벼운 마음으로 볼수 있는 영화 김가은님 영화 에서는 처음 보는데 드라마에서 보았던것 처럼 편안한 연기 좋았어요 앞으로 더 많은 모습 보여 주세요 저희는 재밌게 보고 나왔어요 
2937,타일러 너무 멋져요 ㅋㅋㅋㅋ 
2938,어른을 위한 멋진 애니메이션 
2939,제임수 맥어보이 최고입니다 
2940,나쁜 사람 하나도 없고 애들도 따숩고 귀여워ㅠㅠ 
